sale_id,date,store_id,product_id,quantity,unit_price,total_amount,payment_type
0,2025-05-03,5,7,3,1922.91,5768.73,Cash
1,2025-07-05,4,3,1,943.43,943.43,Card
2,2025-03-10,5,2,3,1001.98,3005.94,Card
3,2025-11-24,5,4,2,212.98,425.96,Cash
4,2025-09-26,2,1,5,1666.43,8332.15,Cash
5,2025-09-21,1,9,2,230.47,460.94,Card
6,2025-02-08,3,5,4,1109.53,4438.12,NFC
7,2025-01-19,5,3,3,967.48,2902.44,Card
8,2025-09-29,1,3,1,1035.46,1035.46,Card
9,2025-08-08,1,5,2,1136.33,2272.66,Card
10,2025-01-10,5,9,3,215.41,646.23,NFC
11,2025-03-28,4,7,1,2042.46,2042.46,NFC
12,2025-06-16,5,10,1,801.39,801.39,Card
13,2025-07-23,1,4,2,221.29,442.58,Cash
14,2025-02-26,2,8,4,313.04,1252.16,Card
15,2025-02-19,5,3,4,922.92,3691.68,Card
16,2025-07-03,4,4,2,246.45,492.9,Cash
17,2025-02-15,1,5,4,1358.44,5433.76,Card
18,2025-04-18,1,8,5,300.45,1502.25,Cash
19,2025-02-13,1,6,3,2225.27,6675.81,Card
20,2025-07-19,4,4,3,237.33,711.99,Cash
21,2025-11-12,2,2,3,1012.04,3036.12,Card
22,2025-04-10,3,2,3,926.73,2780.19,Cash
23,2025-04-07,4,8,2,307.81,615.62,NFC
24,2025-06-05,4,10,4,648.32,2593.28,NFC
25,2025-05-04,3,3,4,852.86,3411.44,NFC
26,2025-09-15,2,9,5,229.5,1147.5,Card
27,2025-02-28,2,10,2,647.86,1295.72,NFC
28,2025-02-27,1,10,1,810.81,810.81,Card
29,2025-03-25,3,6,4,1801.82,7207.28,Cash
30,2025-06-12,1,3,4,858.3,3433.2,Cash
31,2025-04-13,2,2,1,1090.41,1090.41,Card
32,2025-09-10,1,3,3,901.27,2703.81,NFC
33,2025-11-13,2,2,2,1058.69,2117.38,Card
34,2025-07-06,1,9,2,245.79,491.58,Card
35,2025-04-24,4,2,5,1023.24,5116.2,NFC
36,2025-08-02,1,1,5,1804.08,9020.4,Cash
37,2025-01-12,2,10,1,623.29,623.29,NFC
38,2025-11-19,1,5,2,1147.73,2295.46,NFC
39,2025-09-20,4,6,2,2003.6,4007.2,NFC
40,2025-06-21,3,8,5,356.42,1782.1,NFC
41,2025-05-20,1,3,5,809.11,4045.55,NFC
42,2025-04-13,4,3,1,904.37,904.37,Cash
43,2025-08-20,3,8,3,314.23,942.69,Cash
44,2025-08-06,4,4,1,235.95,235.95,NFC
